hex,dec,message
00,0,"NO_ERROR: The operation completed successfully"
01,1,"INVALID_FUNCTION: Incorrect function"
02,2,"FILE_NOT_FOUND: The system cannot find the file specified"
03,3,"PATH_NOT_FOUND: The system cannot find the path specified"
04,4,"TOO_MANY_OPEN_FILES: The system cannot open the file"
05,5,"ACCESS_DENIED: Access is denied"
06,6,"INVALID_HANDLE: The handle is invalid"
07,7,"ARENA_TRASHED: The storage control blocks were destroyed"
08,8,"NOT_ENOUGH_MEMORY: Not enough storage is available to process this command"
09,9,"INVALID_BLOCK: The storage control block address is invalid"
0A,10,"BAD_ENVIRONMENT: The environment is incorrect"
0B,11,"BAD_FORMAT: An attempt was made to load a program with an incorrect format"
0C,12,"INVALID_ACCESS: The access code is invalid"
0D,13,"INVALID_DATA: The data is invalid"
0E,14,"OUTOFMEMORY: Not enough storage is available to complete this operation"
0F,15,"INVALID_DRIVE: The system cannot find the drive specified"
10,16,"CURRENT_DIRECTORY: The directory cannot be removed"
11,17,"NOT_SAME_DEVICE: The system cannot move the file to a different disk drive"
12,18,"NO_MORE_FILES: There are no more files"
13,19,"WRITE_PROTECT: The media is write protected"
14,20,"BAD_UNIT: The system cannot find the device specified"
15,21,"NOT_READY: The device is not ready"
16,22,"BAD_COMMAND: The device does not recognize the command"
17,23,"CRC: Data error (cyclic redundancy check)"
18,24,"BAD_LENGTH: The program issued a command but the command length is incorrect"
19,25,"SEEK: The drive cannot locate a specific area or track on the disk"
1A,26,"NOT_DOS_DISK: The specified disk or diskette cannot be accessed"
1B,27,"SECTOR_NOT_FOUND: The drive cannot find the sector requested"
1C,28,"OUT_OF_PAPER: The printer is out of paper"
1D,29,"WRITE_FAULT: The system cannot write to the specified device"
1E,30,"READ_FAULT: The system cannot read from the specified device"
1F,31,"GEN_FAILURE: A device attached to the system is not functioning"
20,32,"SHARING_VIOLATION: The process cannot access the file because it is being used by another process"
21,33,"LOCK_VIOLATION: The process cannot access the file because another process has locked a portion of the file"
22,34,WRONG_DISK
23,35,FCB_UNAVAILABLE
24,36,"SHARING_BUFFER_EXCEEDED: Too many files opened for sharing"
26,38,"HANDLE_EOF: Reached the end of the file"
27,39,"HANDLE_DISK_FULL: The disk is full"
32,50,"NOT_SUPPORTED: The request is not supported"
33,51,"REM_NOT_LIST: Windows cannot find the network path. Verify that the network path is correct and the destination computer is not busy or turned off. If Windows still cannot find the network path, contact your network administrator"
34,52,"DUP_NAME: You were not connected because a duplicate name exists on the network. Go to System in Control Panel to change the computer name and try again"
35,53,"BAD_NETPATH: The network path was not found"
36,54,"NETWORK_BUSY: The network is busy"
37,55,"DEV_NOT_EXIST: The specified network resource or device is no longer available"
38,56,"TOO_MANY_CMDS: The network BIOS command limit has been reached"
39,57,"ADAP_HDW_ERR: A network adapter hardware error occurred"
3A,58,"BAD_NET_RESP: The specified server cannot perform the requested operation"
3B,59,"UNEXP_NET_ERR: An unexpected network error occurred"
3C,60,"BAD_REM_ADAP: The remote adapter is not compatible"
3D,61,"PRINTQ_FULL: The printer queue is full"
3E,62,"NO_SPOOL_SPACE: Space to store the file waiting to be printed is not available on the server"
3F,63,"PRINT_CANCELLED: Your file waiting to be printed was deleted"
40,64,"NETNAME_DELETED: The specified network name is no longer available"
41,65,"NETWORK_ACCESS_DENIED: Network access is denied"
42,66,"BAD_DEV_TYPE: The network resource type is not correct"
43,67,"BAD_NET_NAME: The network name cannot be found"
44,68,"TOO_MANY_NAMES: The name limit for the local computer network adapter card was exceeded"
45,69,"TOO_MANY_SESS: The network BIOS session limit was exceeded"
46,70,"SHARING_PAUSED: The remote server has been paused or is in the process of being started"
47,71,"REQ_NOT_ACCEP: No more connections can be made to this remote computer at this time because there are already as many connections as the computer can accept"
48,72,"REDIR_PAUSED: The specified printer or disk device has been paused"
50,80,"FILE_EXISTS: The file exists"
51,81,DUP_FCB
52,82,"CANNOT_MAKE: The directory or file cannot be created"
53,83,"FAIL_I24: Fail on INT 24"
54,84,"OUT_OF_STRUCTURES: Storage to process this request is not available"
55,85,"ALREADY_ASSIGNED: The local device name is already in use"
56,86,"INVALID_PASSWORD: The specified network password is not correct"
57,87,"INVALID_PARAMETER: The parameter is incorrect"
58,88,"NET_WRITE_FAULT: A write fault occurred on the network"
59,89,"NO_PROC_SLOTS: The system cannot start another process at this time"
5A,90,NOT_FROZEN
5B,91,"ERR_TSTOVFL: TSTOVFL"
5C,92,"ERR_TSTDUP: TSTDUP"
5D,93,NO_ITEMS
5F,95,INTERRUPT
63,99,DEVICE_IN_USE
64,100,"TOO_MANY_SEMAPHORES: Cannot create another system semaphore"
65,101,"EXCL_SEM_ALREADY_OWNED: The exclusive semaphore is owned by another process"
66,102,"SEM_IS_SET: The semaphore is set and cannot be closed"
67,103,"TOO_MANY_SEM_REQUESTS: The semaphore cannot be set again"
68,104,"INVALID_AT_INTERRUPT_TIME: Cannot request exclusive semaphores at interrupt time"
